direction,forecast_th_pct,validation_min_count,signal_count_raw,win_rate_before_cost_raw,win_rate_after_cost_raw,avg_return_before_cost_raw,avg_return_after_cost_raw,median_return_before_cost_raw,median_return_after_cost_raw,total_return_before_cost_raw,total_return_after_cost_raw,signal_count_nonoverlap,win_rate_before_cost_nonoverlap,win_rate_after_cost_nonoverlap,avg_return_before_cost_nonoverlap,avg_return_after_cost_nonoverlap,median_return_before_cost_nonoverlap,median_return_after_cost_nonoverlap,total_return_before_cost_nonoverlap,total_return_after_cost_nonoverlap
LONG,6,1,1495,0.4836120401337793,0.4568561872909699,-0.009236590629135837,-0.012204427617846696,-0.0018426397262694,-0.004832625333686558,-0.9999998448314638,-0.9999999982501838,37,0.4864864864864865,0.4594594594594595,-0.003848844944117408,-0.006832820953283138,-0.0027632079445142,-0.005750435985005797,-0.1625972251062875,-0.25057582908345055
LONG,6,2,1191,0.4760705289672544,0.44836272040302266,-0.010675978703184324,-0.013639503997370675,-0.0025893718057246,-0.005577120573281524,-0.9999994063046778,-0.9999999833340891,35,0.4857142857142857,0.42857142857142855,-0.007379960101199395,-0.010353358636393554,-0.009385746831715,-0.012353137022238836,-0.2546604092457425,-0.32895250640453344
LONG,6,3,462,0.5064935064935064,0.4805194805194805,-0.008470824395454282,-0.011440955240934103,0.00085266306963955,-0.0021453963314378988,-0.9894035520927741,-0.9973501090310309,31,0.5483870967741935,0.5161290322580645,-0.0024025814923457826,-0.005390889791266054,0.0048183294656607,0.001808390890096545,-0.09884252199386467,-0.17887118238879884
LONG,8,1,1020,0.44803921568627453,0.4303921568627451,-0.012297514257397469,-0.01525618223332723,-0.0072596230008347,-0.01023338200644408,-0.9999992190766265,-0.9999999633843308,26,0.46153846153846156,0.46153846153846156,-0.005121428888960649,-0.008101592866245698,-0.007034830296883501,-0.010009262670216568,-0.14349238383796092,-0.20776093943517326
LONG,8,2,847,0.4427390791027155,0.42502951593860683,-0.013164068806757854,-0.016120141013990463,-0.0086568521981473,-0.011626425796368522,-0.9999962585922116,-0.9999997052237487,26,0.46153846153846156,0.46153846153846156,-0.004089101348636396,-0.00707235766848238,-0.00426984159153475,-0.007252556503035357,-0.12018610822569442,-0.1862034639989778
LONG,8,3,340,0.4676470588235294,0.45588235294117646,-0.010313051624524592,-0.013277664068678396,-0.0051823260113452,-0.008162307570980687,-0.9821698522871144,-0.9935705405917078,22,0.5,0.45454545454545453,-0.00186564844816725,-0.004855565132837242,0.0003248350382325999,-0.0026716432512085553,-0.061401826403690074,-0.1213492950264935
LONG,10,1,792,0.42045454545454547,0.40025252525252525,-0.013543495683580625,-0.01649843131561385,-0.0123153470286003,-0.01527396158637051,-0.9999939597401255,-0.9999994387301974,20,0.4,0.4,-0.005483114399486009,-0.008462194945927459,-0.0035174186458593,-0.006502387444239588,-0.12129932210366856,-0.17247087833373997
LONG,10,2,667,0.40929535232383807,0.38980509745127434,-0.014784116052673775,-0.0177353353998851,-0.0148118692329348,-0.017763005445349034,-0.9999835081934528,-0.999997770308613,20,0.4,0.4,-0.00602356993063642,-0.00900103153969995,-0.0035174186458593,-0.006502387444239588,-0.13077077365525736,-0.1813907553527897
LONG,10,3,265,0.43018867924528303,0.4188679245283019,-0.012437478649065468,-0.015395727360925957,-0.011335645548572,-0.014297194807263547,-0.9763059403404242,-0.9893002094051835,16,0.4375,0.4375,-0.007303952658365122,-0.010277578874252936,-0.0123998908360032,-0.015358252142354867,-0.12283789868679351,-0.16394717452711915
SHORT,1,1,900,0.5588888888888889,0.5244444444444445,0.006588469941338822,0.004743659408161132,0.0068325933720224,0.0038634868564743075,224.94122612454694,41.67183353547375,24,0.5,0.4166666666666667,-0.0025099742384419753,-0.004980190066808869,0.0010339320513215499,-0.001962082230499873,-0.06439740590221021,-0.11837800206616722
SHORT,1,2,560,0.5392857142857143,0.5107142857142857,0.005734375037719774,0.0038851909178890254,0.004651807869032101,0.001664340536631559,17.079024082871644,5.395610844511161,23,0.4782608695652174,0.43478260869565216,-0.0010687773124370215,-0.0026549905028006556,-0.0070564077821055,-0.009981479635906343,-0.04015032048313505,-0.07443042728885829
